trip_id,driver_id,distance_km,fare_amount,timestamp
5966bbbf-1494-404e-8318-3e09bd3a52ef,38,2.24,126.71,2025-10-16 17:48:30
47872ce7-d042-472b-8d87-7a6808435633,8,41.72,144.05,2025-10-16 17:48:31
99177ecd-8afe-493f-bd09-086b1b6f3722,35,41.26,61.27,2025-10-16 17:48:32
969a320f-3577-4a15-9ba8-8674bf3c8005,94,49.5,57.23,2025-10-16 17:48:33
6dcd45f9-87dd-4aed-8511-8c5fa03643be,43,17.58,30.82,2025-10-16 17:48:34
0a4f4cda-4a1c-4c42-89b0-83c55df6638d,28,3.26,53.57,2025-10-16 17:48:35
247f5399-61d8-4e70-a05c-3ec38c379012,43,28.32,145.43,2025-10-16 17:48:36
daf15b68-370e-4833-a6e3-30703b18c91b,9,4.13,35.11,2025-10-16 17:48:37
2aa640cd-6b5f-4264-af47-713bade47760,28,15.23,41.89,2025-10-16 17:48:38
3f519c05-b447-4374-8390-8b2ea394dc7f,48,41.24,64.95,2025-10-16 17:48:39
1a076161-40d0-43ef-98b4-48ba5d6a40dd,7,29.57,144.3,2025-10-16 17:48:40
4929263d-70ed-41fb-a8e3-e839b73edfb0,32,19.96,15.72,2025-10-16 17:48:41
dc2cd5ef-3d18-45f1-9757-218069d2a869,6,3.02,131.3,2025-10-16 17:48:42
e4032635-b79e-4b78-aa88-8181dc57e77d,44,45.35,146.17,2025-10-16 17:48:43
a7b2d5a8-d932-4630-8ea1-28e639aa53ac,17,35.58,147.08,2025-10-16 17:48:44
2fa40544-07e3-49d1-9193-ee3bca696d13,3,24.5,148.76,2025-10-16 17:48:45
a53c68c0-d788-4310-bfc5-cb8375e96b92,90,12.3,121.4,2025-10-16 17:48:46
de1977c4-2f86-4337-8abb-986c853fc5c3,18,1.35,90.02,2025-10-16 17:48:47
ab94b3f1-5294-4023-9266-dcf400cc39d5,1,26.22,139.32,2025-10-16 17:48:48
84e020f6-2b51-4b17-be7d-065daaa1d1ea,49,12.99,99.36,2025-10-16 17:48:49
b38d21c1-bb2f-4e94-8d4d-1294e74cd313,80,20.91,117.29,2025-10-16 17:48:50
4f4de6f7-b492-445a-967a-4acccb4063fa,14,47.03,77.76,2025-10-16 17:48:51
ef0d8c3a-04be-43ef-9a3a-56334f596ae3,88,31.78,51.15,2025-10-16 17:48:52
0f5e87a4-214d-485a-a308-6bdd7335ecdb,1,27.06,13.64,2025-10-16 17:48:53
f0b2aead-a0a4-498b-a144-8eb469494bb1,42,47.27,107.75,2025-10-16 17:48:54
dd37f91d-97cf-4df7-9c42-4b4243a6ca34,67,17.2,142.35,2025-10-16 17:48:55
089185c4-f9f3-456f-9683-0195230709aa,51,15.48,148.54,2025-10-16 17:48:56
8016e305-b8cb-4deb-aa18-bf5103ce0df2,80,3.13,119.71,2025-10-16 17:48:57
b5f7afcd-54d8-4a5d-8c4f-bea4d21c8d82,7,17.22,85.17,2025-10-16 17:48:58
d1f954e4-123b-4572-9754-cccab2d19038,35,18.62,113.81,2025-10-16 17:48:59
eefa8ce4-adb7-4ffb-bfdc-cac61244df50,69,9.91,129.84,2025-10-16 17:49:00
386493ef-30b4-42bf-a0bb-6406643c39a5,39,40.55,136.3,2025-10-16 17:49:01
a24c4092-c225-42ea-913c-0b439c0e3d1f,43,12.74,29.45,2025-10-16 17:49:02
217e73a4-f3fd-41a9-9132-59bbf28d7ec4,44,14.74,40.35,2025-10-16 17:49:03
f55f0096-d58a-4be8-aa5d-5d0506256fce,95,4.39,90.59,2025-10-16 17:49:04
41813c65-b54a-4991-9d8d-e0f54ad46d14,79,49.07,70.64,2025-10-16 17:49:05
37a78ee4-886f-4e52-a59a-9bffe8e459b8,95,47.95,11.26,2025-10-16 17:49:06
1461c5fb-facb-451e-ba93-20edefec2b01,71,3.88,128.57,2025-10-16 17:49:07
ebf2ff86-3605-4a19-b1e1-9d7670510089,17,4.95,111.87,2025-10-16 17:49:08
45fa314c-f1fa-4faf-84de-5aa8b53ec1d2,13,10.97,118.02,2025-10-16 17:49:09
e06fabfb-b567-4596-be16-ba3ca16fd9e0,61,34.53,30.87,2025-10-16 17:49:10
e9661903-9f3c-4372-86fa-9003da9fea08,53,46.32,70.2,2025-10-16 17:49:11
6ab5ab33-a19f-4b36-9ad5-ce25cfcdbf44,57,13.92,23.97,2025-10-16 17:49:12
d4fc23d9-16d5-42e9-99aa-a72354f9aff0,60,14.22,131.13,2025-10-16 17:49:13
0df22951-ae42-4c21-9034-8bc9714ac6d3,89,9.7,99.39,2025-10-16 17:49:14
156e021f-8e85-48c4-a428-3078421e1988,2,25.15,89.52,2025-10-16 17:49:15
90131bd9-565b-48b2-bf6c-76121f8575cf,10,39.71,78.36,2025-10-16 17:49:16
e4118104-fcee-42a7-b007-432c2c5eef71,76,27.05,113.86,2025-10-16 17:49:17
186f397b-3fae-47bb-a966-6c1785a7b546,82,7.99,99.1,2025-10-16 17:49:18
43796f91-a5bf-4636-9e5f-727c1bd7868a,60,41.43,149.21,2025-10-16 17:49:19
0bf5bc3d-93eb-4646-b166-074baffed233,45,29.31,132.67,2025-10-16 17:49:20
84b49c67-771f-4b87-879a-54b62df84c77,97,25.65,114.5,2025-10-16 17:49:21
c889441a-407d-4998-a389-b16cece53b3e,97,19.79,85.5,2025-10-16 17:49:22
a9844818-4c48-465e-a8ba-aefa4488998e,45,8.65,43.48,2025-10-16 17:49:23
39148d19-d540-44ec-bd2b-087016577c8c,43,7.31,100.95,2025-10-16 17:49:24
445a52ad-10e9-4672-bb80-96fd985e67fc,6,23.0,132.16,2025-10-16 17:49:25
230384ed-2667-4b2f-a827-88a528443262,38,44.8,60.56,2025-10-16 17:49:26
1acaa369-24f8-49d4-99bc-7cc55dab3f2e,61,39.23,14.92,2025-10-16 17:49:27
